ID,Scientific Name,Extra,rank,input,match_type,genus_species,temp_authority,source_id,genus_ed,species_ed
1,"Carex	",A,genus,"Carex	",exact,Carex,,carex,,
1,"Carex	",A,genus,"Carex	",phonetic,Carex,,carex,,
1,"Carex	",A,genus,"Carex	",near_1,Cadea,,cadea,,
1,"Carex	",A,genus,"Carex	",near_1,Calea,,calea,,
1,"Carex	",A,genus,"Carex	",near_1,Cales,,cales,,
1,"Carex	",A,genus,"Carex	",near_1,Calyx,,calyx,,
1,"Carex	",A,genus,"Carex	",near_1,Camax,,camax,,
1,"Carex	",A,genus,"Carex	",near_1,Capea,,capea,,
1,"Carex	",A,genus,"Carex	",near_1,Caranx,,caranx,,
1,"Carex	",A,genus,"Carex	",near_1,Cardax,,cardax,,
1,"Carex	",A,genus,"Carex	",near_1,Carea,,carea,,
1,"Carex	",A,genus,"Carex	",near_1,Careya,,careya,,
1,"Carex	",A,genus,"Carex	",near_1,Caria,,caria,,
1,"Carex	",A,genus,"Carex	",near_1,Caris,,caris,,
1,"Carex	",A,genus,"Carex	",near_1,Carnax,,carnax,,
1,"Carex	",A,genus,"Carex	",near_1,Carreo,,carreo,,
1,"Carex	",A,genus,"Carex	",near_1,Cartea,,cartea,,
1,"Carex	",A,genus,"Carex	",near_1,Carum,,carum,,
1,"Carex	",A,genus,"Carex	",near_1,Carya,,carya,,
1,"Carex	",A,genus,"Carex	",near_1,Carynx,,carynx,,
1,"Carex	",A,genus,"Carex	",near_1,Errex,,errex,,
1,"Carex	",A,genus,"Carex	",near_1,Murex,,murex,,
1,"Carex	",A,genus,"Carex	",near_1,Pirex,,pirex,,
1,"Carex	",A,genus,"Carex	",near_1,Sirex,,sirex,,
1,"Carex	",A,genus,"Carex	",near_1,Sorex,,sorex,,
2,Homo spaien,B,genus,Homo spaien,exact,Homo,,homo,,
2,Homo spaien,B,genus,Homo spaien,phonetic,Homo,,homo,,
2,Homo spaien,B,species,Homo spaien,near_2,Homo sapiens,"Linnaeus, 1758","5,203,384",0,2
3,"Aster	",C,genus,"Aster	",exact,Aster,,aster,,
3,"Aster	",C,genus,"Aster	",phonetic,Aster,,aster,,
3,"Aster	",C,genus,"Aster	",near_1,Asper,,asper,,
3,"Aster	",C,genus,"Aster	",near_1,Astega,,astega,,
3,"Aster	",C,genus,"Aster	",near_1,Asteia,,asteia,,
3,"Aster	",C,genus,"Aster	",near_1,Astha,,astha,,
3,"Aster	",C,genus,"Aster	",near_1,Astia,,astia,,
3,"Aster	",C,genus,"Aster	",near_1,Astya,,astya,,
3,"Aster	",C,genus,"Aster	",near_1,Auster,,auster,,
3,"Aster	",C,genus,"Aster	",near_1,Halter,,halter,,
3,"Aster	",C,genus,"Aster	",near_1,Hister,,hister,,
3,"Aster	",C,genus,"Aster	",near_1,Xyster,,xyster,,
