taxonID	parentNameUsageID	taxonRank	family	scientificName	scientificNameAuthorship	genusHybridMarker	genus	speciesHybridMarker	specificEpithet	infraspecificRank	infraspecificEpithet	infraspecificRank2	infraspecificEpithet2	taxonomicStatus	acceptedNameUsageID	taxonUri
GCC-42433D30-645E-431A-959D-002994BC7A21	GCC-FFA631EA-FCC7-4B90-B915-87CA50893E3D	species	Asteraceae	Acanos spina	Scop.		Acanos		spina					Synonym	GCC-BEB13DE0-7A1D-4C37-8B53-8491CB85A262	urn:lsid:compositae.org:names:42433D30-645E-431A-959D-002994BC7A21
GCC-68414CA9-163E-4864-A7E1-0089E76B1CD4	GCC-C436A13B-684F-421E-AD87-F2F31D2B4E58	species	Asteraceae	Acanthospermum brasilum	Schrank		Acanthospermum		brasilum					Synonym	GCC-AA8D7C9D-34FB-4D4A-920C-63C4FC9F5804	urn:lsid:compositae.org:names:68414CA9-163E-4864-A7E1-0089E76B1CD4
GCC-08568BA2-4EE7-433A-90A9-00C8FBF0A4BE	GCC-8B028CBA-9019-4D3D-88F9-B977EED7BA2F	variety	Asteraceae	Acanthospermum xanthioides var. obtusifolium	DC.		Acanthospermum		xanthioides	var.	obtusifolium			Synonym	GCC-AA8D7C9D-34FB-4D4A-920C-63C4FC9F5804	urn:lsid:compositae.org:names:08568BA2-4EE7-433A-90A9-00C8FBF0A4BE
GCC-9C52554C-39DD-49F2-8F32-0141F2FC5F3F	GCC-A9371D00-EF31-40FF-BA38-7D988DD5E593	variety	Asteraceae	Achillea crithmifolia var. bulgarica	Degen & Urum.		Achillea		crithmifolia	var.	bulgarica			Synonym	GCC-A9371D00-EF31-40FF-BA38-7D988DD5E593	urn:lsid:compositae.org:names:9C52554C-39DD-49F2-8F32-0141F2FC5F3F
GCC-04677710-CC9D-492D-A27F-0059DF31BAF2	GCC-EB18F2F3-1D71-4F9C-87D3-A90B29EC5763	species	Asteraceae	Achillea pastricensis	Heimerl		Achillea		pastricensis					Synonym	GCC-4B444F3B-9A92-4052-8AF9-DFE53239C832	urn:lsid:compositae.org:names:04677710-CC9D-492D-A27F-0059DF31BAF2
GCC-BEA1113C-509E-4A9E-9BF6-008611FB774E	GCC-EB18F2F3-1D71-4F9C-87D3-A90B29EC5763	species	Asteraceae	Achillea pseudo-tanacetifolia	Wierzb. ex Rchb.		Achillea		pseudo-tanacetifolia					Synonym	GCC-40160FE1-53D5-4C15-9595-F5B87A104673	urn:lsid:compositae.org:names:BEA1113C-509E-4A9E-9BF6-008611FB774E
GCC-46F46747-2FDB-4DBA-B990-004BAD80AA2B	GCC-EB18F2F3-1D71-4F9C-87D3-A90B29EC5763	species	Asteraceae	Achillea speciosa	Hayek		Achillea		speciosa					Synonym	GCC-2C03244A-7ADB-4E0C-B649-9F84BC67FD0A	urn:lsid:compositae.org:names:46F46747-2FDB-4DBA-B990-004BAD80AA2B
GCC-98191A9E-4A63-4DE8-AA73-012721EBC710	GCC-EB18F2F3-1D71-4F9C-87D3-A90B29EC5763	species	Asteraceae	Achillea teretifolia	Willd.		Achillea		teretifolia					Accepted	GCC-98191A9E-4A63-4DE8-AA73-012721EBC710	urn:lsid:compositae.org:names:98191A9E-4A63-4DE8-AA73-012721EBC710
GCC-36CAB411-05F9-4C1C-B708-0076EF89B784	GCC-38C0CBDC-3946-4DF3-949D-55677CD2E1F0	forma	Asteraceae	Achillea wilsoniana f. obconica	Heimerl		Achillea		wilsoniana	fo.	obconica			Synonym	GCC-38C0CBDC-3946-4DF3-949D-55677CD2E1F0	urn:lsid:compositae.org:names:36CAB411-05F9-4C1C-B708-0076EF89B784
GCC-0A7229C1-C7CA-4EAC-9C8F-0039EE915550	GCC-676DD2A3-F64A-439D-AF9A-6010B5B26674	genus	Asteraceae	Achnophora	F.Muell.		Achnophora							Accepted	GCC-0A7229C1-C7CA-4EAC-9C8F-0039EE915550	urn:lsid:compositae.org:names:0A7229C1-C7CA-4EAC-9C8F-0039EE915550
