t1ID,GCCLSID,ConceptLSID,acceptedFamily,family,fullName,rank,genusHybridMarker,genus,genusBasionymAuthors,genusAuthors,speciesHybridMarker,species,speciesBasAuthors,speciesAuthors,infraspecificRank,infraspecificEpithet,infraspecificBasAuthors,infraspecificAuthors,basionymAuthors,primaryAuthors,publication,collation,page,date,reference,basionymID,replacedSynonymID,nomenclaturalRemarks,taxonomicStatus,acceptedNameID,acceptedName,parentNameID,source,originalID,lastModifiedInSourceAvailable,lastModifiedInSource,dateExported,ipniID,IPNIContributions,GCCDataProviders,notes
GCC-FA54B065-8C1D-48CC-8CE0-000012FB41F0,urn:lsid:compositae.org:names:FA54B065-8C1D-48CC-8CE0-000012FB41F0,urn:lsid:compositae.org:concepts:505827,Asteraceae,Asteraceae,"Cirsium caput-medusae Schur ex Nyman",species,,Cirsium,"","Mill.",,caput-medusae,"","Schur ex Nyman",,,"","",NULL,"Schur ex Nyman",NULL,,"408",1879,,,,"",Synonym,GCC-78A27008-4592-4B77-A847-D6108ACE45E0,"Cirsium spinosissimum (L.) Scop.",GCC-AFE03D58-FDC5-43BE-9BFA-342F73983345,GCC,FA54B065-8C1D-48CC-8CE0-000012FB41F0,true,2010-04-14T01:59:58.560,2012-02-11T19:46:03,,"195146-1","Data Providers:  Govaerts World Compositae Checklist A-G, IPNI",""
GCC-FAA7A012-61D9-4445-A9A4-0000B7902B61,urn:lsid:compositae.org:names:FAA7A012-61D9-4445-A9A4-0000B7902B61,urn:lsid:compositae.org:concepts:372641,Asteraceae,Asteraceae,"Mutisia kurtzii var. pinnata Cabrera",variety,,Mutisia,"","L.f.",,kurtzii,"","R.E.Fr.",variety,pinnata,NULL,"Cabrera",NULL,"Cabrera","Opera Lilloana 13: 105. 1966",,"105",1965,,,,"",Accepted,GCC-FAA7A012-61D9-4445-A9A4-0000B7902B61,"Mutisia kurtzii var. pinnata Cabrera",GCC-8B4FD657-82F2-4523-92C9-A9E3EF0DD99A,GCC,FAA7A012-61D9-4445-A9A4-0000B7902B61,true,2010-04-17T22:53:54.780,2012-02-11T19:46:03,,"165170-2","Data Providers:  IPNI, Tropicos, Flora del Conosur",""
GCC-EF821E8A-B0E5-42A5-90E9-0001795A784E,urn:lsid:compositae.org:names:EF821E8A-B0E5-42A5-90E9-0001795A784E,[none],Asteraceae,Asteraceae,"Hieracium sylowi Omang",species,,Hieracium,"","Tourn. ex L.",,sylowi,"","Omang",,,"","",NULL,"Omang",NULL,,"119",1933,,,,"",Synonym,GCC-685684F9-2EB1-4033-B501-8E8C57DAD795,"lachenalii subsp. cruentifolium (Dahlst. & Lübeck) Zahn",GCC-F84FA45B-C1DB-4F8F-9A21-7054E4C71895,GCC,EF821E8A-B0E5-42A5-90E9-0001795A784E,true,2011-12-23T07:59:08.280,2012-02-11T19:46:03,,"223925-1,122477-2","Data Providers:  IPNI, Tropicos, LCR Editor",""
GCC-65773D73-40C2-446A-8F91-00019B7D61F4,urn:lsid:compositae.org:names:65773D73-40C2-446A-8F91-00019B7D61F4,urn:lsid:compositae.org:concepts:356428,Asteraceae,Asteraceae,"Oritrophium figueirasii Cuatrec.",species,,Oritrophium,"Kunth","(Kunth) Cuatrec.",,figueirasii,"","Cuatrec.",,,"","",NULL,"Cuatrec.",NULL,,"354",1972,,,,"",Accepted,GCC-65773D73-40C2-446A-8F91-00019B7D61F4,"Oritrophium figueirasii Cuatrec.",GCC-F0195A60-9D66-4323-9CC0-891C885592CD,GCC,65773D73-40C2-446A-8F91-00019B7D61F4,true,2010-04-18T03:09:50.047,2012-02-11T19:46:03,,"176315-2,235604-1","Data Providers:  IPNI, Tropicos, Paramo Checklist","also in Ciencia (Mexico) 27(6): 183 (31 Oct 1972), P. Jo|/rg./97"
GCC-3F91814C-F4E4-4F2D-8BD8-0001D9845593,urn:lsid:compositae.org:names:3F91814C-F4E4-4F2D-8BD8-0001D9845593,[none],Asteraceae,Asteraceae,"Solidago elliptica Elliott",species,,Solidago,"","L.",,elliptica,"","Elliott",,,"","",NULL,"Elliott","SKetch, ii. 376",,"376",1824,,,,"",Synonym,GCC-D28B7753-7230-4C8E-8F62-9F5CFE18CB06,"Solidago latissimifolia Mill.",GCC-3208579A-5DDD-4D40-BC99-D4E23FBB78A7,GCC,3F91814C-F4E4-4F2D-8BD8-0001D9845593,true,2010-04-19T12:21:13.140,2012-02-11T19:46:03,,"249536-1","Data Providers:  Govaerts World Compositae Checklist A-G, IPNI, Tropicos","? nom. illeg., non Aiton ?"
GCC-8D2C6097-FDC8-4471-A2F7-0001EB7AF41A,urn:lsid:compositae.org:names:8D2C6097-FDC8-4471-A2F7-0001EB7AF41A,[none],Asteraceae,Asteraceae,"Anisorrhamphus Rchb.",genus,,Anisorrhamphus,"","Rchb.",,,"","",,,"","",NULL,"Rchb.","Deutsche Herbarienbuch. Nom.",,"95",1841,,,,"",Unplaced,,"",GCC-BA6504FA-5EE6-4464-B96B-765891017D3D,GCC,8D2C6097-FDC8-4471-A2F7-0001EB7AF41A,true,2011-09-24T00:45:37.263,2012-02-11T19:46:03,,"","Data Providers:  Tropicos",""
GCC-33253C9F-BF30-46FE-8D5F-0001F3613940,urn:lsid:compositae.org:names:33253C9F-BF30-46FE-8D5F-0001F3613940,urn:lsid:compositae.org:concepts:498076,Asteraceae,Asteraceae,"Brickellia brachiata var. typica B.L.Rob.",variety,,Brickellia,"","Elliott",,brachiata,"","Vasey & Rose",variety,typica,NULL,"B.L.Rob.",NULL,"B.L.Rob.","Mem. Gray Herb. 1",,"",1916,,GCC-DB13FBC4-68ED-445E-ABC4-F4F28754AA5D,,"nom. inval.",Invalid,GCC-7A225B49-0F15-4CD4-9273-BF6AA829D1DB,"Brickellia coulteri A.Gray",GCC-94E30EA2-879F-4D3B-BC09-098A9C644BF0,GCC,33253C9F-BF30-46FE-8D5F-0001F3613940,true,2011-09-25T07:24:14.437,2012-02-11T19:46:03,,"36375-2","Data Providers:  Govaerts World Compositae Checklist A-G, IPNI",""
GCC-72C84BC0-616B-4EE7-99B2-0002D89130CC,urn:lsid:compositae.org:names:72C84BC0-616B-4EE7-99B2-0002D89130CC,urn:lsid:compositae.org:concepts:7,Asteraceae,Asteraceae,"Seris Less.",genus,,Seris,"","Less.",,,"","",,,"","",NULL,"Less.","Linnaea 5",,"253",1830,,,,"nom. illegit.",Illegitimate,GCC-8554B70F-BA39-492E-910E-B9803243C805,"Richterago Kuntze",GCC-DEFDB83D-0A59-4D27-B65A-F8D9023E8C9E,GCC,72C84BC0-616B-4EE7-99B2-0002D89130CC,true,2010-11-22T14:35:58.530,2012-02-11T19:46:03,,"10999-1,325809-2","Data Providers:  Kadereit & Jeffrey 2007, IPNI, Tropicos, LCR Editor, Funk et al. 2009",""
GCC-892911B7-EEBC-4536-9388-0004737C1AB1,urn:lsid:compositae.org:names:892911B7-EEBC-4536-9388-0004737C1AB1,urn:lsid:compositae.org:concepts:488002,Asteraceae,Asteraceae,"Hieracium frigidarium subsp. lorethicum Zahn",subspecies,,Hieracium,"","Tourn. ex L.",,frigidarium,"","Nägeli & Peter",subspecies,lorethicum,NULL,"Zahn",NULL,"Zahn","Zahn in Koch, Syn. Deut. Schweiz. Fl. ed. 3. 1900.",,"1748",1900,,,,"",Synonym,GCC-56402314-E919-4E92-B420-2A13B0257115,"Pilosella frigidaria (Nägeli & Peter) Soják",GCC-BD896FBC-5231-4349-9B1E-F105F3780511,GCC,892911B7-EEBC-4536-9388-0004737C1AB1,true,2010-12-21T15:21:09.100,2012-02-11T19:46:03,,"","Data Providers:  Euro+Med, Cichorieae Portal",""
GCC-CA3D1A40-3C67-4AC0-B416-0004ACEFB4DE,urn:lsid:compositae.org:names:CA3D1A40-3C67-4AC0-B416-0004ACEFB4DE,[none],Asteraceae,Asteraceae,"Baccharis wrightii Sch.Bip.",species,,Baccharis,"","L.",,wrightii,"","Sch.Bip.",,,"","",NULL,"Sch.Bip.",NULL,,"303",1856,,,,"",Illegitimate,GCC-77417422-0BDB-4FF9-B8D3-241DD6BD1B97,"Baccharis patens Baker",GCC-8AA745B0-4318-4137-8A27-56ECD5AB7DC6,GCC,CA3D1A40-3C67-4AC0-B416-0004ACEFB4DE,true,2011-09-24T22:47:41.153,2012-02-11T19:46:03,,"183881-1","Data Providers:  Govaerts World Compositae Checklist A-G, IPNI, Tropicos","nom. illeg. hom."
