nameID	parentNameID	scientificName	scientificNameAuthorship	nameRank	nameUri	isHybrid	genus	specificEpithet	rankIndicator	otherEpithet	subclass	family	acceptance	acceptedNameID
40002848	42000417	Abies	Mill.	genus	http://www.tropicos.org/Name/40002848		Abies		gen.		Coniferidae	Pinaceae	A	
100280139	40002848	Abies äîìí_ shastensis	Lemmon	nothospecies	http://www.tropicos.org/Name/100280139	1	Abies	shastensis	nothosp.		Coniferidae	Pinaceae		
100280140	100280139	Abies äîìí_ shastensis var. xanthocarpa	Lemmon	variety	http://www.tropicos.org/Name/100280140		Abies	shastensis	var.	xanthocarpa	Coniferidae	Pinaceae		
24900711	40002848	Abies ajanensis	Lindl. & Gord.	species	http://www.tropicos.org/Name/24900711		Abies	ajanensis	sp.		Coniferidae	Pinaceae	S	24900100
24900049	40002848	Abies alba	Mill.	species	http://www.tropicos.org/Name/24900049		Abies	alba	sp.		Coniferidae	Pinaceae	A	
100280022	24900049	Abies alba subsp. apennina	"Brullo, Scelsi & Spamp."	subspecies	http://www.tropicos.org/Name/100280022		Abies	alba	subsp.	apennina	Coniferidae	Pinaceae		
100280023	24900049	Abies alba subsp. borisii-regis	(Mattf.) Kozuharov & N.Andreev	subspecies	http://www.tropicos.org/Name/100280023		Abies	alba	subsp.	borisii-regis	Coniferidae	Pinaceae	S	100280043
100280024	24900049	Abies alba subsp. pardei	(Gaussen) Silba	subspecies	http://www.tropicos.org/Name/100280024		Abies	alba	subsp.	pardei	Coniferidae	Pinaceae	A	
100280025	24900049	Abies alba var. brevifolia	Mattf.	variety	http://www.tropicos.org/Name/100280025		Abies	alba	var.	brevifolia	Coniferidae	Pinaceae		
24900242	40002848	Abies amabilis	Douglas ex J. Forbes	species	http://www.tropicos.org/Name/24900242		Abies	amabilis	sp.		Coniferidae	Pinaceae	A	
100280027	24900242	Abies amabilis var. magnifica	(A. Murray bis) Lavalläîìäëêe	variety	http://www.tropicos.org/Name/100280027		Abies	amabilis	var.	magnifica	Coniferidae	Pinaceae	S	50230224
50229974	40002848	Abies apollinis	Boiss.	species	http://www.tropicos.org/Name/50229974		Abies	apollinis	sp.		Coniferidae	Pinaceae		
24900050	40002848	Abies balsamea	(L.) Mill.	species	http://www.tropicos.org/Name/24900050		Abies	balsamea	sp.		Coniferidae	Pinaceae	A	
100280029	24900050	Abies balsamea fo. compacta	B. Boivin	forma	http://www.tropicos.org/Name/100280029		Abies	balsamea	fo.	compacta	Coniferidae	Pinaceae		
