nameID	parentNameID	scientificName	scientificNameAuthorship	nameRank	nameUri	isHybrid	genus	specificEpithet	rankIndicator	otherEpithet	subclass	family	acceptance	acceptedNameID
50324788	50324787	Aster		genus			Aster		gen.		Asteridae	Asteraceae	A	
50324789	50324788	Aster communis		species			Aster	communis	sp.		Asteridae	Asteraceae	A	
50324787	50324792	Asteraceae	L.	family					fam.		Asteridae	Asteraceae	A	
50324792	50324793	Asterales		order					ord.		Asteridae	Asteraceae	A	
50324793	43000109	Asteridae		subclass					subcl.		Asteridae	Asteraceae	A	
40003345	43000109	Cedrus	Trew	genus	http://www.tropicos.org/Name/40003345		Cedrus		gen.		Coniferidae	Taxodiaceae	A	
24900655	40003345	Cedrus deodara	(Roxb. ex D. Don) G. Don	species	http://www.tropicos.org/Name/24900655		Cedrus	deodara	sp.		Coniferidae	Taxodiaceae	A	
24900697	40003345	Cedrus libani		species	http://www.tropicos.org/Name/24900697		Cedrus	libani	sp.		Coniferidae	Taxodiaceae	A	
100307701	40003345	Cedrus newus		species			Cedrus	newus	sp.		Coniferidae	Taxodiaceae	A	
42000417	50324779	Coniferaceae		family	http://www.tropicos.org/Name/42000417				fam.	Coniferaceae	Coniferidae	Coniferaceae	A	
50324779	50324780	Coniferales		order	http://www.tropicos.org/Name/50324779				ord.	Coniferales	Coniferidae			
50324780	43000109	Coniferidae		subclass	http://www.tropicos.org/Name/50324780				subcl.	Coniferidae	Coniferidae			
50324781	42000417	Coniferus	Boyle	genus					gen.		Coniferidae	Coniferaceae	A	
50324782	50324781	Coniferus hirsutus	Enquist	species					sp.		Coniferidae	Coniferaceae	A	
50324790	50324787	Encelia		genus			Encelia		gen.		Asteridae	Asteraceae	A	
50324791	50324790	Encelia farinosa		species			Encelia	farinosa	sp.		Asteridae	Asteraceae	A	
50324784	50324779	Junkaceae		family					fam.		Coniferidae	Junkaceae	S	50324783
50324785	50324784	Junkus		genus			Junkus		gen.		Coniferidae	Junkaceae	A	
50324786	50324785	Junkus illusus		species			Junkus	illusus	sp.		Coniferidae	Junkaceae	A	
40002025	42000417	Larix	Mill.	genus	http://www.tropicos.org/Name/40002025		Larix		gen.		Coniferidae	Coniferaceae	A	
24900524	40002025	Larix alaskensis	W. Wight	species	http://www.tropicos.org/Name/24900524		Larix	alaskensis	sp.		Coniferidae	Coniferaceae	S	24900159
24900532	40002025	Larix americana	Michx.	species	http://www.tropicos.org/Name/24900532		Larix	americana	sp.		Coniferidae	Coniferaceae		
24900097	40002025	Larix dahurica	Turcz.	species	http://www.tropicos.org/Name/24900097		Larix	dahurica	sp.		Coniferidae	Coniferaceae	S	50120578
24900158	40002025	Larix decidua	Mill.	species	http://www.tropicos.org/Name/24900158		Larix	decidua	sp.		Coniferidae	Coniferaceae	A	
24901197	40002025	Larix europaea	Lam. & A. DC.	species	http://www.tropicos.org/Name/24901197		Larix	europaea	sp.		Coniferidae	Coniferaceae	S	24900158
24900378	40002025	Larix gmelinii	(Rupr.) Kuzen.	species	http://www.tropicos.org/Name/24900378		Larix	gmelinii	sp.		Coniferidae	Coniferaceae	A	
24900730	40002025	Larix gmelinii	Rupr.	species	http://www.tropicos.org/Name/24900730		Larix	gmelinii	sp.		Coniferidae	Coniferaceae		
50255752	24900378	Larix gmelinii fo. macrocarpa	(Liou & Q.L. Wang) Y.C. Yang & Y.L. Chou	forma	http://www.tropicos.org/Name/50255752		Larix	gmelinii	fo.	macrocarpa	Coniferidae	Coniferaceae	A	
50255753	24900378	Larix gmelinii fo. pubibasis	Y.C. Yang & S.C. Nie	forma	http://www.tropicos.org/Name/50255753		Larix	gmelinii	fo.	pubibasis	Coniferidae	Coniferaceae		
24901201	40002025	Larix griffithiana	Carri_”“Îère	species	http://www.tropicos.org/Name/24901201		Larix	griffithiana	sp.		Coniferidae	Coniferaceae	S	24900792
24900792	40002025	Larix griffithii	Hook. f.	species	http://www.tropicos.org/Name/24900792		Larix	griffithii	sp.		Coniferidae	Coniferaceae	A	
24900932	40002025	Larix japonica	Carri_”“Îère	species	http://www.tropicos.org/Name/24900932		Larix	japonica	sp.		Coniferidae	Coniferaceae		
24900099	40002025	Larix junkus		species	http://www.tropicos.org/Name/24900099		Larix	junkus	sp.		Coniferidae	Coniferaceae	A	
24900375	40002025	Larix kaempferi	(Lamb.) Carri_”“Îère	species	http://www.tropicos.org/Name/24900375		Larix	kaempferi	sp.		Coniferidae	Coniferaceae	A	
24900733	40002025	Larix kurilensis	Mayr	species	http://www.tropicos.org/Name/24900733		Larix	kurilensis	sp.		Coniferidae	Coniferaceae	S	24900731
24900159	40002025	Larix laricina	(Du Roi) K. Koch	species	http://www.tropicos.org/Name/24900159		Larix	laricina	sp.		Coniferidae	Coniferaceae	A	
24900671	40002025	Larix leptolepis	(Siebold & Zucc.) Gordon	species	http://www.tropicos.org/Name/24900671		Larix	leptolepis	sp.		Coniferidae	Coniferaceae	S	24900375
24900376	40002025	Larix olgensis	A. Henry	species	http://www.tropicos.org/Name/24900376		Larix	olgensis	sp.		Coniferidae	Coniferaceae	A	
24900379	40002025	Larix potaninii	Batalin	species	http://www.tropicos.org/Name/24900379		Larix	potaninii	sp.		Coniferidae	Coniferaceae	A	
24901216	40002025	Larix principis-rupprechtii	Mayr	species	http://www.tropicos.org/Name/24901216		Larix	principis-rupprechtii	sp.		Coniferidae	Coniferaceae	S	50230800
40008450	42000417	Picea	A. Dietr.	genus	http://www.tropicos.org/Name/40008450		Picea		gen.		Coniferidae	Coniferaceae	A	
24900164	40008450	Picea abies	(L.) H. Karst.	species	http://www.tropicos.org/Name/24900164		Picea	abies	sp.		Coniferidae	Coniferaceae	A	
50231158	24900164	Picea abies fo. erythrocarpa	(Purk.) Rehder	forma	http://www.tropicos.org/Name/50231158		Picea	abies	fo.	erythrocarpa	Coniferidae	Coniferaceae	A	
50231535	24900164	Picea abies fo. fennica	(Regel) Lindm.	forma	http://www.tropicos.org/Name/50231535		Picea	abies	fo.	fennica	Coniferidae	Coniferaceae	S	24900753
50231172	24900164	Picea abies var. acuminata	(Beck) Dallim. & A.B. Jacks.	variety	http://www.tropicos.org/Name/50231172		Picea	abies	var.	acuminata	Coniferidae	Coniferaceae	A	
50231166	24900164	Picea abies var. alpestris	(Br_”“_«•gger) P.A. Schmidt	variety	http://www.tropicos.org/Name/50231166		Picea	abies	var.	alpestris	Coniferidae	Coniferaceae	A	
50231171	24900164	Picea abies var. arctica	Lindq.	variety	http://www.tropicos.org/Name/50231171		Picea	abies	var.	arctica	Coniferidae	Coniferaceae		
50231170	24900164	Picea abies var. germanica	Lindq.	variety	http://www.tropicos.org/Name/50231170		Picea	abies	var.	germanica	Coniferidae	Coniferaceae		
24900423	40008450	Picea alba	(Aiton) Link	species	http://www.tropicos.org/Name/24900423		Picea	alba	sp.		Coniferidae	Coniferaceae	S	24900167
50231173	40008450	Picea alcoquiana	Carri_”“Îère	species	http://www.tropicos.org/Name/50231173		Picea	alcoquiana	sp.		Coniferidae	Coniferaceae		
50231174	50231173	Picea alcoquiana var. acicularis	Fitschen	variety	http://www.tropicos.org/Name/50231174		Picea	alcoquiana	var.	acicularis	Coniferidae	Coniferaceae		
50231181	50231173	Picea alcoquiana var. alcoquiana		variety	http://www.tropicos.org/Name/50231181		Picea	alcoquiana	var.	alcoquiana	Coniferidae	Coniferaceae		
50231185	50231173	Picea alcoquiana var. reflexa	Fitschen	variety	http://www.tropicos.org/Name/50231185		Picea	alcoquiana	var.	reflexa	Coniferidae	Coniferaceae		
24900676	40008450	Picea asperata	Mast.	species	http://www.tropicos.org/Name/24900676		Picea	asperata	sp.		Coniferidae	Coniferaceae	A	
50231628	24900676	Picea asperata var. retroflexa	(Mast.) W.C. Cheng	variety	http://www.tropicos.org/Name/50231628		Picea	asperata	var.	retroflexa	Coniferidae	Coniferaceae	A	
50054686	40008450	Picea balfouriana	Rehder & E.H. Wilson	species	http://www.tropicos.org/Name/50054686		Picea	balfouriana	sp.		Coniferidae	Coniferaceae	S	50140509
50231579	50054686	Picea balfouriana var. balfouriana		variety	http://www.tropicos.org/Name/50231579		Picea	balfouriana	var.	balfouriana	Coniferidae	Coniferaceae		
24900607	40008450	Picea balsamea	(L.) Loudon	species	http://www.tropicos.org/Name/24900607		Picea	balsamea	sp.		Coniferidae	Coniferaceae	S	24900602
24900680	40008450	Picea bicolor	(Maxim.) Mayr	species	http://www.tropicos.org/Name/24900680		Picea	bicolor	sp.		Coniferidae	Coniferaceae	A	
24900844	40008450	Picea brachytyla	(Franch.) E. Pritz.	species	http://www.tropicos.org/Name/24900844		Picea	brachytyla	sp.		Coniferidae	Coniferaceae	A	
50231193	24900844	Picea brachytyla var. ascendens	Silba	variety	http://www.tropicos.org/Name/50231193		Picea	brachytyla	var.	ascendens	Coniferidae	Coniferaceae		
24900801	40008450	Picea brevifolia	Peck	species	http://www.tropicos.org/Name/24900801		Picea	brevifolia	sp.		Coniferidae	Coniferaceae	S	24900169
24900418	40008450	Picea canadensis	"(Mill.) Britton, Sterns & Poggenb."	species	http://www.tropicos.org/Name/24900418		Picea	canadensis	sp.		Coniferidae	Coniferaceae		
50229977	40008450	Picea cephalonica	(Loudon) Loudon	species	http://www.tropicos.org/Name/50229977		Picea	cephalonica	sp.		Coniferidae	Coniferaceae	S	50229980
