"nameID","parentNameID","scientificName","scientificNameAuthorship","nameRank","nameUri","isHybrid","genus","specificEpithet","rankIndicator","otherEpithet","subclass","family","acceptance","acceptedNameID"
24900029,24900028,"Pinus halepensis var. ceciliae","Ll. Llorens","variety","http://www.tropicos.org/Name/24900029",,"Pinus","halepensis","var.","ceciliae","Pinidae","Pinaceae",,
24900036,24900203,"Pinus nigra var. maritima","(Aiton) Melville","variety","http://www.tropicos.org/Name/24900036",,"Pinus","nigra","var.","maritima","Pinidae","Pinaceae","A",
24900044,24900220,"Pinus sylvestris var. mongolica","Litv.","variety","http://www.tropicos.org/Name/24900044",,"Pinus","sylvestris","var.","mongolica","Pinidae","Pinaceae","A",
24900045,24900220,"Pinus sylvestris var. sylvestris",,"variety","http://www.tropicos.org/Name/24900045",,"Pinus","sylvestris","var.","sylvestris","Pinidae","Pinaceae","A",
24900102,24900167,"Picea glauca subsp. glauca",,"subspecies","http://www.tropicos.org/Name/24900102",,"Picea","glauca","subsp.","glauca","Pinidae","Pinaceae",,
24900113,24900112,"Pinus mugo subsp. mughus","(Scop.) Domin","subspecies","http://www.tropicos.org/Name/24900113",,"Pinus","mugo","subsp.","mughus","Pinidae","Pinaceae","A",
24900114,24900203,"Pinus nigra var. austriaca","(H├╢ss) Badoux","variety","http://www.tropicos.org/Name/24900114",,"Pinus","nigra","var.","austriaca","Pinidae","Pinaceae","A",
24900120,24900119,"Pinus silvestris subsp. kulundensis","Sukaczew","subspecies","http://www.tropicos.org/Name/24900120",,"Pinus","silvestris","subsp.","kulundensis","Pinidae","Pinaceae",,
24900122,24900220,"Pinus sylvestris var. lapponica","Hartm.","variety","http://www.tropicos.org/Name/24900122",,"Pinus","sylvestris","var.","lapponica","Pinidae","Pinaceae","A",
24900135,24900134,"Pinus elliottii var. densa","Little & K.W. Dorman","variety","http://www.tropicos.org/Name/24900135",,"Pinus","elliottii","var.","densa","Pinidae","Pinaceae","A",
24900137,24900136,"Abies concolor var. lowiana","(Gordon) Lemmon","variety","http://www.tropicos.org/Name/24900137",,"Abies","concolor","var.","lowiana","Pinidae","Pinaceae","S",24900136
24900141,24900140,"Abies lasiocarpa var. arizonica","(Merriam) Lemmon","variety","http://www.tropicos.org/Name/24900141",,"Abies","lasiocarpa","var.","arizonica","Pinidae","Pinaceae","A",
24900175,24900174,"Pinus aristata var. longaeva","(D.K. Bailey) Little","variety","http://www.tropicos.org/Name/24900175",,"Pinus","aristata","var.","longaeva","Pinidae","Pinaceae","S",24900304
24900184,24900183,"Pinus contorta var. bolanderi","Vasey","variety","http://www.tropicos.org/Name/24900184",,"Pinus","contorta","var.","bolanderi","Pinidae","Pinaceae","A",
24900185,24900183,"Pinus contorta var. latifolia","Engelm.","variety","http://www.tropicos.org/Name/24900185",,"Pinus","contorta","var.","latifolia","Pinidae","Pinaceae","A",
24900186,24900183,"Pinus contorta var. murrayana","(Balf.) Engelm.","variety","http://www.tropicos.org/Name/24900186",,"Pinus","contorta","var.","murrayana","Pinidae","Pinaceae","A",
24900198,24900197,"Pinus leiophylla var. chihuahuana","(Engelm.) Shaw","variety","http://www.tropicos.org/Name/24900198",,"Pinus","leiophylla","var.","chihuahuana","Pinidae","Pinaceae","A",
24900206,24900205,"Pinus ponderosa var. arizonica","(Engelm.) Shaw","variety","http://www.tropicos.org/Name/24900206",,"Pinus","ponderosa","var.","arizonica","Pinidae","Pinaceae","S",24900863
24900207,24900205,"Pinus ponderosa var. scopulorum","Engelm.","variety","http://www.tropicos.org/Name/24900207",,"Pinus","ponderosa","var.","scopulorum","Pinidae","Pinaceae","A",
24900263,24900139,"Abies grandis var. densiflora","Engelm.","variety","http://www.tropicos.org/Name/24900263",,"Abies","grandis","var.","densiflora","Pinidae","Pinaceae",,
24900265,24900167,"Picea glauca subsp. engelmannii","(Parry ex Engelm.) T.M.C. Taylor","subspecies","http://www.tropicos.org/Name/24900265",,"Picea","glauca","subsp.","engelmannii","Pinidae","Pinaceae","S",24900846
24900266,24900166,"Picea engelmannii var. glabra","Goodman","variety","http://www.tropicos.org/Name/24900266",,"Picea","engelmannii","var.","glabra","Pinidae","Pinaceae","S",24900846
24900271,24900284,"Abies menziesii var. parryana","Andr├⌐","variety","http://www.tropicos.org/Name/24900271",,"Abies","menziesii","var.","parryana","Pinidae","Pinaceae","S",24900170
24900273,24900500,"Pseudotsuga douglasii var. glauca","(Beissn., in Jager & Beissn.) Mayr","variety","http://www.tropicos.org/Name/24900273",,"Pseudotsuga","douglasii","var.","glauca","Pinidae","Pinaceae","S",24900277
24900274,24900272,"Pseudotsuga taxifolia var. glauca","Sudw.","variety","http://www.tropicos.org/Name/24900274",,"Pseudotsuga","taxifolia","var.","glauca","Pinidae","Pinaceae","S",24900277
24900276,24900272,"Pseudotsuga taxifolia subsp. glauca","(Beissn., in Jager & Beissn.) Schwerin","subspecies","http://www.tropicos.org/Name/24900276",,"Pseudotsuga","taxifolia","subsp.","glauca","Pinidae","Pinaceae","S",24900277
